Creation Time: 2023_7_10-22-11-3
22-11-3 | [INFO] TraderPlusCore - Started !
22-19-52 | [INFO] InsuranceRequestHandler
22-19-52 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_119311623.json
22-19-55 | [INFO] TraderID: 4 - Customer: Cowboy - Category: Holler Just Mags - ClassName: Mag_Ruger1022_15Rnd - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 120 - CollateralMoney: 0 - TradeMode:Sell
22-19-55 | [INFO] Transaction Sell Succeeded:Cowboy product:Mag_Ruger1022_15Rnd quantity:0 health:0 price:120
22-20-3 | [INFO] InsuranceRequestHandler
22-20-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_93344906.json
22-20-5 | [INFO] InsuranceRequestHandler
22-20-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_119311623.json
22-21-0 | [INFO] InsuranceRequestHandler
22-21-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_119311623.json
22-21-3 | [INFO] TraderID: 5 - Customer: Cowboy - Category: Holler Camping & Survival - ClassName: Compass - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 60 - CollateralMoney: 0 - TradeMode:Sell
22-21-3 | [INFO] Transaction Sell Succeeded:Cowboy product:Compass quantity:0 health:0 price:60
22-21-17 | [INFO] InsuranceRequestHandler
22-21-17 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_93344906.json
22-21-25 | [INFO] InsuranceRequestHandler
22-21-25 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_119311623.json
22-21-26 | [INFO] InsuranceRequestHandler
22-21-26 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_93344906.json
22-22-37 | [INFO] GetSafeStatut
22-23-43 | [INFO] GetSafeStatut
22-24-34 | [INFO] InsuranceRequestHandler
22-24-34 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_119311623.json
22-24-38 | [INFO] TraderID: 4 - Customer: Cowboy - Category: Holler Just Mags - ClassName: Mag_Deagle_9rnd - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 120 - CollateralMoney: 0 - TradeMode:Sell
22-24-38 | [INFO] Transaction Sell Succeeded:Cowboy product:Mag_Deagle_9rnd quantity:0 health:0 price:120
22-24-40 | [INFO] TraderID: 4 - Customer: Cowboy - Category: Holler Just Mags - ClassName: Mag_1911_7Rnd - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 120 - CollateralMoney: 0 - TradeMode:Sell
22-24-40 | [INFO] Transaction Sell Succeeded:Cowboy product:Mag_1911_7Rnd quantity:0 health:0 price:120
22-24-43 | [INFO] InsuranceRequestHandler
22-24-43 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_119311623.json
22-24-50 | [INFO] TraderID: 5 - Customer: Cowboy - Category: Holler Hunting & Fishing - ClassName: FishingRod - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 650 - CollateralMoney: 0 - TradeMode:Buy
22-24-50 | [INFO] Player:Cowboy - currency amount:860
22-24-50 | [INFO] Transaction Buy Succeeded:Cowboy product:FishingRod quantity:0 health:0 price:650
22-24-54 | [INFO] TraderID: 5 - Customer: Cowboy - Category: Holler Hunting & Fishing - ClassName: Hook - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 50 - CollateralMoney: 0 - TradeMode:Buy
22-24-54 | [INFO] Player:Cowboy - currency amount:210
22-24-54 | [INFO] Transaction Buy Succeeded:Cowboy product:Hook quantity:0 health:0 price:50
22-24-58 | [INFO] TraderID: 5 - Customer: Cowboy - Category: Holler Hunting & Fishing - ClassName: Hook - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 50 - CollateralMoney: 0 - TradeMode:Buy
22-24-58 | [INFO] Player:Cowboy - currency amount:160
22-24-58 | [INFO] Transaction Buy Succeeded:Cowboy product:Hook quantity:0 health:0 price:50
22-25-5 | [INFO] InsuranceRequestHandler
22-25-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_119311623.json
22-25-13 | [INFO] InsuranceRequestHandler
22-25-13 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_119311623.json
22-26-18 | [INFO] GetSafeStatut
